 Abbeville   	  Coaling   	  Goldville   	  Maplesville   	  Russellville
Abel 	Coatopa 	Goodsprings 	Marbury 	Rutledge
Abernant 	Cochrane 	Goodwater 	Margaret 	Ryland
Acmar 	Coden 	Goodway 	Marion 	Safford
Adamsville 	Coffee Springs 	Gordo 	Marion Junction 	Saginaw
Addison 	Coffeeville 	Gordon 	Marvel 	Saint Elmo
Adger 	Coker 	Goshen 	Mathews 	Salem
Akron 	Collinsville 	Gosport 	Maxwell AFB 	Salitpa
Alabama City 	Columbia 	Graball 	Maylene 	Samantha
Alabaster 	Columbiana 	Grady 	Maytown 	Samson
Alberta 	Comer 	Graham 	McCalla 	Saragossa
Albertville 	Concord 	Grand Bay 	Mccullough 	Saraland
Alden 	Cook Springs 	Grangeburg 	McIntosh 	Sardis
Alexander City 	Coosa Pines 	Grant 	McKenzie 	Sardis City
Alexandria 	Coosada 	Gravleeton 	Mcmullen 	Satsuma
Aliceville 	Copeland 	Grayson 	McWilliams 	Sawyerville
Allen 	Cordova 	Grayson Valley 	Megargel 	Sayre
Allgood 	Corinth 	Graysville 	Mellow Valley 	Scottsboro
Alma 	Cortelyou 	Green Pond 	Melvin 	Scyrene
Almond 	Cottondale 	Greensboro 	Mentone 	Seaboard
Alpine 	Cottonton 	Greenville 	Meridianville 	Seale
Alton 	Cottonwood 	Grimes 	Mexia 	Searles
Altoona 	Courtland 	Grove Hill 	Midfield 	Section
Andalusia 	Cowarts 	Groveoak 	Midland City 	Selma
Anderson 	Coy 	Guin 	Midway 	Seminole
Annemanie 	Cragford 	Gulf Crest 	Miflin 	Semirah Springs
Anniston 	Crane Hill 	Gulf Shores 	Millbrook 	Semmes
Aquilla 	Creola 	Gunter AFB 	Millers Ferry 	Shady Grove
Arab 	Cromwell 	Guntersville 	Millerville 	Shakespeare
Ardmore 	Cropwell 	Gurley 	Millport 	Shannon
Ariton 	Cross Roads 	Hackleburg 	Millry 	Shawmut
Arkadelphia 	Crossville 	Hacoda 	Mineola 	Sheffield
Arley 	Cuba 	Haleburg 	Minter 	Shelby
Arlington 	Cullman 	Haleyville 	Mobile 	Shinebone
Armstrong 	Cusseta 	Hamilton 	Mon Louis 	Shoal Creek
Ashford 	Cypress 	Hampton Cove 	Monroeville 	Shorter
Ashland 	Dadeville 	Hanceville 	Montevallo 	Shorterville
Ashville 	Daleville 	Hardaway 	Montgomery 	Sikesville
Athens 	Damascus 	Harkins Crossroads 	Montrose 	Silas
Atmore 	Danville 	Harpersville 	Moody 	Siluria
Attalla 	Daphne 	Harrisburg 	Mooresville 	Silver Cross
Atwood 	Dauphin Island 	Hartford 	Morris 	Silverhill
Auburn 	Daviston 	Hartselle 	Morvin 	Sims Chapel
Autaugaville 	Dawson 	Harvest 	Motley 	Sipsey
Avon 	Dayton 	Hatchechubbee 	Moulton 	Skipperville
Avondale 	De Armanville 	Havana 	Moundville 	Skyland
Axis 	Deatsville 	Hawk 	Mount Hebron 	Slocomb
Baileyton 	Decatur 	Hawthorn 	Mount Hope 	Smiths
Baker Hill 	Deer Park 	Hawthorne 	Mount Meigs 	Smiths Station
Banks 	Delmar 	Hayden 	Mount Olive 	Snead
Bankston 	Delta 	Hayneville 	Mount Vernon 	Snow Hill
Barfield 	Demopolis 	Haywood 	Mountain Brook 	Somerville
Barlow 	Detroit 	Hazel Green 	Mulberry 	South Highlands
Barney 	Dickert 	Headland 	Mulga 	Southside
Bassetts Creek 	Dickinson 	Healing Springs 	Munford 	Spanish Fort
Battens Crossroads 	Dixiana 	Heflin 	Muscadine 	Sprague
Bay Minette 	Dixie 	Helena 	Muscle Shoals 	Spring Garden
Bayou la Batre 	Dixons Mills 	Henagar 	Myrtlewood 	Springville
Bazemore 	Dixonville 	Heron Bay 	Nanafalia 	Sprott
Bear Creek 	Docena 	Higdon 	Napoleon 	Spruce Pine
Beatrice 	Dolomite 	Highbluff 	Natural Bridge 	St Stephens
